id,page1_id,page2_id
1572,1230,138
1568,1228,411
1567,1228,223
1440,1186,738
1562,1226,133
1561,1226,138
2652,16,1367
1577,1231,1206
1594,1239,111
1595,1239,133
1441,1187,742
1582,1233,250
1596,1239,742
3829,102,1845
1583,1234,742
1584,1234,138
1585,1234,133
1550,1220,432
3790,1973,651
1588,1235,226
1587,1235,252
1543,1219,224
1544,1219,223
1549,1220,166
1578,1231,223
1592,1238,223
1548,1220,223
1545,1219,432
1586,1234,111
1598,1241,133
1599,1241,111
1735,1286,1206
1715,1286,252
1734,1240,1206
1690,1274,742
1609,1246,567
1610,1246,466
1612,1248,223
1737,1288,1206
1717,1288,252
1608,1246,411
1633,1257,111
1634,1257,133
1635,1257,111
1636,1257,742
1630,1256,133
1924,1390,1386
1671,1266,742
1607,1245,133
1606,1245,111
1691,1274,651
1732,1284,1206
1731,1235,1206
1740,1254,1206
1720,1254,500
1719,1254,1289
1618,1251,233
1619,1251,500
2552,1661,69
1679,1270,741
1680,1270,651
1667,129,23
1631,1256,111
1632,1256,742
1742,1222,1206
1744,1263,1206
1648,1261,229
1640,1259,133
1638,1258,411
1637,1258,500
1620,1252,742
1746,1299,1207
1752,1306,1206
1654,1262,249
3560,1919,1845
1750,1303,1207
1724,1294,1207
1642,1259,138
1643,1259,742
1639,1258,1206
1657,1263,801
1656,1263,250
1741,1290,1206
1743,1262,1206
3642,1829,71
1736,1287,1206
1716,1287,252
1755,1310,1207
1729,1161,1206
1753,1307,690
1710,1282,742
1711,1282,651
3792,1974,651
1692,1275,730
1722,1292,1207
1960,1403,141
1668,1264,1184
1669,1264,730
1670,1265,1184
2596,1675,22
1143,273,639
3583,273,103
3528,368,103
1730,1297,1206
1695,1276,742
1696,1276,739
1697,1276,730
3760,1963,70
3791,1974,742
3762,1671,81
1693,1275,742
3667,258,60
1747,1300,1207
1748,1301,1207
1749,1302,1207
3759,1963,279
1647,1261,250
1677,1268,742
1032,338,65
1641,1259,111
1725,1295,1207
1615,1249,111
1590,1238,500
1728,1160,1206
1701,1277,651
1700,1277,741
1703,1278,651
1702,1278,739
1705,1279,651
1704,1279,741
1707,1280,651
1706,1280,741
1709,1281,651
1708,1281,741
1694,1275,651
3611,1308,499
1733,1285,1206
1611,1246,223
3761,1671,73
1751,1304,1207
1713,1283,730
3737,1946,250
3586,453,65
1425,651,862
1754,1309,1207
1622,1252,138
1623,1252,133
1421,651,741
1683,1272,742
1616,1249,138
1624,1252,111
1718,1251,1289
1739,1251,1206
1629,1256,138
1628,1255,593
1614,1249,133
1939,660,567
1617,1249,742
1714,1242,801
1613,1248,250
1723,1293,1207
1745,1298,1207
1591,1238,233
1678,1270,742
3561,567,1179
1944,695,312
1796,1333,500
1800,1331,500
1504,1210,66
1945,695,249
1802,1330,411
1777,1318,742
1804,142,178
2013,670,690
1781,1325,651
1759,361,21
1783,1327,651
503,65,527
1946,695,389
277,161,144
1998,1312,690
2655,187,300
3813,1984,389
1786,1329,126
1712,1283,742
3562,567,660
1827,1350,250
1825,1348,250
1826,1349,250
2027,861,690
1828,1351,250
1829,1352,250
1820,1344,250
1784,166,718
3738,1946,243
2731,1725,599
1766,487,60
2732,1725,76
1768,1316,250
1769,1316,1315
1767,1315,250
1823,1346,742
3739,1946,223
2576,1668,432
1505,1210,224
1822,1346,223
1806,1336,200
1765,370,62
1757,378,62
2005,650,690
2577,1668,456
3814,1984,22
1925,1391,1386
1780,1321,166
1973,108,614
1762,619,74
1972,108,627
1808,1338,1217
1241,1064,266
1242,1064,341
2554,1662,49
1764,424,64
504,65,606
481,72,122
1961,1405,108
816,457,74
1243,1064,354
1506,1210,772
1832,1231,1328
1675,742,1184
305,67,273
1807,1337,250
3793,1975,742
1830,1353,250
2553,1662,519
2750,1729,66
1798,1332,411
1244,1064,524
1794,1334,411
3529,550,1179
2633,1688,78
1803,141,139
1409,1177,240
1811,1289,1206
2749,1729,257
234,198,301
1805,801,1206
2748,1729,524
1818,1343,250
1813,1306,250
1778,1319,742
1817,1342,250
1793,1334,500
1821,1345,250
1792,1334,1206
1674,742,1182
1833,1297,1328
1834,1236,1328
1824,1347,250
1779,1320,166
1411,1177,265
1245,1064,380
1758,329,77
609,508,60
735,224,66
3588,1923,1845
2634,1688,22
3697,498,220
1761,340,76
3643,628,108
1763,444,67
1782,1326,651
1760,1313,71
303,67,299
304,67,513
1234,1064,567
2632,1688,236
3712,638,273
2747,1729,571
3794,1975,651
3713,638,299
1812,1339,250
676,697,279
3614,403,20
3714,638,575
2693,1705,408
2598,1676,22
505,65,503
506,65,119
1756,1311,1207
3670,231,1152
32,102,16
1797,1332,500
33,102,54
1770,1317,250
306,67,270
1814,1340,250
1579,1232,1206
1771,1317,1315
1772,1317,1316
24,92,63
1790,1332,1206
2020,803,690
1943,695,257
1774,1317,1207
1816,1341,432
1795,1333,411
1831,1160,1328
2021,1413,690
2037,1416,742
2038,1416,499
2039,1416,802
2040,1416,1147
2014,671,690
1840,1211,166
929,225,76
930,225,77
1866,1373,466
1867,1373,325
931,225,67
315,69,249
2103,1456,250
1884,636,81
932,225,14
2091,1451,1207
3631,1931,499
1855,1365,166
1854,1364,166
1856,1366,166
3698,274,103
1859,1371,250
933,225,109
934,225,18
1850,1359,406
1849,1359,250
1848,1358,166
1852,1361,166
1000,286,60
1947,1396,643
2045,888,690
1879,182,380
1894,172,253
2113,240,64
823,252,77
2600,1677,22
3589,1924,1845
830,242,73
3615,288,103
1869,1374,240
3202,1821,224
2086,1448,690
736,224,21
822,252,76
3671,428,108
2092,1451,250
2089,1450,1207
1685,1273,742
3672,428,1399
1663,1206,308
2028,875,690
2006,1411,650
1886,89,356
2007,1411,690
1999,644,690
2082,1152,252
2083,1152,249
2090,1450,250
2635,1689,270
2093,1452,690
2078,252,1152
1882,637,88
2096,1453,1207
1885,1378,166
3673,428,1405
2110,244,1064
