id,file,width,height,focal_point_key,filter_id,image_id,urls
2858,images/Bildschirmfoto_2016-04-26_um_1.2e16d0ba.fill-450x360-c80.png,450,360,2e16d0ba,16,63,
2859,images/IMG_9234.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,675,
2860,images/IMG_9328.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,124,
2861,images/Tonlabor.2e16d0ba.fill-450x360-c80.png,450,360,2e16d0ba,16,553,
2862,images/20150120_lunchtalk_architektur.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,547,
2863,images/Sophienstrasse_Modellwerkstatt.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,548,
2864,images/TAT-gebaeude_01.2e16d0ba.fill-450x360-c80.jpg,390,311,2e16d0ba,16,634,
2865,images/TAT-gebaeude_12.2e16d0ba.fill-450x360-c80.jpg,390,311,2e16d0ba,16,635,
2867,images/15115481702_f97f790397_k.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,119,
2868,images/Bildschirmfoto_2016-06-27_um_09.34.43.max-800x600.png,800,158,,6,781,
2883,images/Klotz.width-480.png,149,149,,4,714,
2884,images/Labi.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,545,
2885,images/dr_alexandra_graefin_von_stosch.max-165x165.jpg,123,165,,1,787,
2886,images/dr_alexandra_graefin_von_stosch.width-480.jpg,190,253,,4,787,
2887,images/dr_alexandra_graefin_von_stosch.2e16d0ba.fill-210x210.jpg,190,191,2e16d0ba,8,787,
2888,images/csm_vehlken_sebastian_7d4a63b2f5.max-165x165.jpg,165,165,,1,788,
2889,images/csm_vehlken_sebastian_7d4a63b2f5.width-480.jpg,480,480,,4,788,
2890,images/csm_vehlken_sebastian_7d4a63b2f5.2e16d0ba.fill-210x210.jpg,210,210,2e16d0ba,8,788,
2891,images/image_preview.max-165x165_C3boRwd.jpg,109,165,,1,789,
2892,images/image_preview.width-480_ffvdNEv.jpg,266,400,,4,789,
2893,images/image_preview.2e16d0ba.fill-210x210.jpg,210,210,2e16d0ba,8,789,
2894,images/csm_KathaRothe_12cf4912b1.max-165x165.jpg,165,165,,1,790,
2895,images/csm_KathaRothe_12cf4912b1.width-480.jpg,480,480,,4,790,
2896,images/csm_KathaRothe_12cf4912b1.2e16d0ba.fill-210x210.jpg,210,210,2e16d0ba,8,790,
2897,images/Willenbucher.width-480.png,134,149,,4,720,
2898,images/dobmann.max-165x165.jpg,109,165,,1,791,
2899,images/masche.max-165x165.jpg,109,165,,1,792,
2900,images/gawrisch.max-165x165.jpg,109,165,,1,793,
2901,images/gawrisch_NY2sHHB.max-165x165.jpg,109,165,,1,794,
2902,images/stricker.max-165x165.jpg,109,165,,1,795,
2903,images/stricker.width-480.jpg,150,226,,4,795,
2904,images/stricker.2e16d0ba.fill-210x210.jpg,150,150,2e16d0ba,8,795,
2905,images/dobmann.2e16d0ba.fill-210x210.jpg,150,150,2e16d0ba,8,791,
2906,images/gawrisch.2e16d0ba.fill-210x210.jpg,150,150,2e16d0ba,8,793,
2907,images/gawrisch_NY2sHHB.2e16d0ba.fill-210x210.jpg,150,150,2e16d0ba,8,794,
2908,images/masche.2e16d0ba.fill-210x210.jpg,150,150,2e16d0ba,8,792,
2909,images/Zellbilder.2e16d0ba.fill-450x360-c80.jpg,169,137,2e16d0ba,16,701,
2910,images/Kathleen_Waak_web_2.width-480.jpg,200,200,,4,280,
2911,images/kittler2.max-165x165.jpg,165,107,,1,796,
2912,images/kittler2.width-480.jpg,300,196,,4,796,
2913,images/kittler2.2e16d0ba.fill-210x210.jpg,196,196,2e16d0ba,8,796,
2914,images/Wenzel_Horst.max-165x165.jpg,165,132,,1,797,
2915,images/Wenzel_Horst.width-480.jpg,265,212,,4,797,
2916,images/Wenzel_Horst.2e16d0ba.fill-210x210.jpg,210,210,2e16d0ba,8,797,
2917,images/buch_anthropozaen.2e16d0ba.fill-450x360-c80.jpg,153,124,2e16d0ba,16,115,
2918,images/BWG2015_100_small.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,567,
2919,images/hello-nice-to-meet-you-01.2e16d0ba.fill-450x360-c80.png,450,360,2e16d0ba,16,90,
2920,images/speaking_images-einladung_2013.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,506,
2921,images/Ausstellung_Von_Innen_nach_Aus.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,514,
2922,images/Eroffnungsplakat_Bild_Original.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,529,
2923,images/Bildschirmfoto_2015-02-10_um_0.2e16d0ba.fill-450x360-c80.png,160,127,2e16d0ba,16,60,
2924,images/haare_hoeren2.2e16d0ba.fill-450x360-c80.jpg,216,173,2e16d0ba,16,631,
2925,images/Bildwelten_Band_1.2e16d0ba.fill-450x360-c80.png,450,360,2e16d0ba,16,703,
2926,images/BWG_Newsletter_10.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,638,
2927,images/Bildwelten.2e16d0ba.fill-450x360-c80.png,450,360,2e16d0ba,16,702,
2928,images/Header.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,499,
2929,images/Mainimage.max-165x165.jpg,124,165,,1,798,
2930,images/Mainimage.width-480.jpg,480,636,,4,798,
2931,images/Mainimage.original.jpg,762,1011,,5,798,
2932,images/BWG_Newsletter_9_DE-1_bgmewwl.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,32,
2933,images/Newsletter_8-1.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,30,
2934,images/BWG_Newsletter7-1.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,29,
2935,images/BWG_Newsletter_6-1.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,28,
2936,images/BWG_Newsletter_5.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,27,
2937,images/BWG_Newsletter_4.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,26,
2938,images/BWG_Newsletter_1_web-1.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,23,
2939,images/17mystere_Modele_de_la_Lune_en.2e16d0ba.fill-450x360-c80_hEXQW3N.jpg,450,360,2e16d0ba,16,93,
2940,images/BWG_Newsletter_3_DE_0-1.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,25,
2941,images/BWG_Newsletter_2.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,24,
2942,images/thumb.2e16d0ba.fill-450x360-c80.jpg,170,136,2e16d0ba,16,117,
2943,images/Logo_of_the_Zuse_Institute_Berlin.max-165x165.png,105,165,,1,799,
2944,images/Logo_of_the_Zuse_Institute_Berlin.width-480.png,480,750,,4,799,
2945,images/Logo_of_the_Zuse_Institute_Berlin.original.png,512,800,,5,799,
2946,images/Logo_of_the_Zuse_Institute_Berlin.width-210.png,210,328,,14,799,
2947,images/Matter_of_Typo_Dresden_010.max-165x165.jpg,165,123,,1,800,
2948,images/Matter_of_Typo_Dresden_010.width-480.jpg,480,360,,4,800,
2949,images/Matter_of_Typo_Dresden_010.width-960.jpg,960,720,,10,800,
