id,title,file,width,height,created_at,focal_point_x,focal_point_y,focal_point_width,focal_point_height,uploaded_by_user_id,file_size,urls
1056,"Frensch, Handbuch, Cover",original_images/Frensch_Handbuch.jpg,412,600,"2016-07-28 10:25:49.278513+02",,,,,13,,
1070,"Latif - Helmholtz Vorlesung Juli 2015",original_images/plakat_latif.jpg,3547,4989,"2016-08-01 10:01:25.045229+02",,,,,22,,
1058,"Bausch - Helmholtz Vorlesung Dezember 2014",original_images/hzk_plakat-bausch_13dAiXf.jpg,3569,5124,"2016-07-28 11:06:50.160591+02",,,,,22,,
1066,Drews_Martin_innen_außen,original_images/Drews_Martin_Innen_Aussen.jpg,426,648,"2016-07-28 12:14:44.660903+02",,,,,13,,
1068,"Coop Design Research",original_images/COOP-StudioAtmo_Larissa_t_Kopie.jpg,1764,1157,"2016-07-28 16:03:23.83458+02",,,,,6,2041842,
1075,"Ebert-Schifferer - Helmholtz Vorlesung Juni 2010",original_images/HVLplakat_ebert-schifferer.jpg,3508,4840,"2016-08-01 10:19:14.70212+02",,,,,22,,
1063,"Cölfen - Helmholtz Vorlesung November 2013",original_images/Plakat_Coelfen.jpg,2355,3323,"2016-07-28 11:12:39.516054+02",,,,,22,533644,
1076,"Franken - Helmholtz Vorlesung Oktober 2010",original_images/plakat_frankenA3.jpg,3508,4613,"2016-08-01 10:21:45.821476+02",,,,,22,,
1071,"Börsch Supan - Helmholtz Vorlesung Mai 2011",original_images/HVL_plakat_boersch-supan_DRUCK_305x457.jpg,3578,5000,"2016-08-01 10:08:45.42803+02",,,,,22,4475683,
1072,"Bromley - Helmholtz Vorlesung November 2009",original_images/HVL-plakat-bromley.jpg,3508,4822,"2016-08-01 10:12:36.183495+02",,,,,22,,
1073,"Baecker - Helmholtz Vorlesung Dezember 2010",original_images/hzk_plakatbaecker.jpg,3508,4613,"2016-08-01 10:15:49.125858+02",,,,,22,,
1074,"Sciddle – The Science Riddle",original_images/SciddleRidlle.jpg,1920,1080,"2016-08-01 10:17:47.670402+02",,,,,6,,
1077,"Weigel - Helmholtz Vorlesung Januar 2011",original_images/hzk_plakat-weigel.jpg,3508,4613,"2016-08-01 10:24:13.646666+02",,,,,22,,
1078,"Schölkopf - Helmholtz Vorlesung Januar 2012",original_images/hzk_plakat-schoelkopf.jpg,3508,4613,"2016-08-01 10:28:35.789212+02",,,,,22,,
1079,"Scherer - Helmholtz Vorlesung Juli 2014",original_images/hzk_plakat-scherrer_hu.jpg,3508,4622,"2016-08-01 10:29:45.167161+02",,,,,22,,
1080,"Strohschneider - Helmholtz Vorlesung Mai 2012",original_images/hzk_plakat-strohschneier1.jpg,3508,4613,"2016-08-01 10:31:13.199802+02",,,,,22,,
1081,"Ertl - Helmholtz Vorlesung Januar 2009",original_images/HVL-plakat-ertl.jpg,3508,4822,"2016-08-01 10:33:53.793932+02",,,,,22,,
1082,"Salje - Helmholtz Vorlesung Mai 2009",original_images/HVL-plakat-Salje.jpg,3508,4822,"2016-08-01 10:35:09.458468+02",,,,,22,,
1083,"Haug - Helmholtz Vorlesung Mai 2010",original_images/HVL-plakat-haug.jpg,3508,4818,"2016-08-01 10:40:33.726398+02",,,,,22,,
1084,"Hölldobler - Helmholtz Vorlesung Dezember 2008",original_images/HVL-plakat-hoelldobler.jpg,2386,3286,"2016-08-01 10:42:19.261201+02",,,,,22,,
1085,"Eigen - Helmholtz Vorlesung Januar 2009",original_images/HVL-plakat-eigen.jpg,3508,4822,"2016-08-01 10:44:32.724321+02",,,,,22,,
1086,"Mulsow - Helmholtz Vorlesung Juni 2012",original_images/hzk_plakat-mulsow_.jpg,3508,4613,"2016-08-01 10:46:13.369788+02",,,,,22,,
1087,"Falcke - Helmholtz Vorlesung Februar 2009",original_images/HVL-plakat-falcke.jpg,3508,4822,"2016-08-01 10:48:01.125292+02",,,,,22,,
1088,"Krull - Helmholtz Vorlesung Januar 2010",original_images/HVL-plakat-krull.jpg,3508,4840,"2016-08-01 10:49:05.007544+02",,,,,22,,
1089,"Reinhard - Helmholtz Vorlesung Juni 2009",original_images/HVL-plakat-reinhard09.jpg,3508,4822,"2016-08-01 10:50:43.053158+02",,,,,22,,
1090,"Judson - Helmholtz Vorlesung Juni 2011",original_images/HVL_plakat_judson.jpg,3508,4961,"2016-08-01 10:55:16.340536+02",,,,,22,,
1091,"Kramer - Helmholtz Vorlesung Dezember 2009",original_images/HVL-plakat-kramer1.jpg,3508,4840,"2016-08-01 10:56:17.06818+02",,,,,22,,
1092,"Niethammer - Helmholtz Vorlesung Februar 2014",original_images/hzk_plakat-niethammer.jpg,3508,4622,"2016-08-01 11:06:51.247687+02",,,,,22,4326627,
1093,CommunicAbility,original_images/communic_cosmology-plakat.jpg,2339,3312,"2016-08-01 11:44:07.421791+02",,,,,6,,
1094,"die Anthropozän-Küche auf der »Woche der Umwelt«",original_images/Bildschirmfoto_2016-08-01_um_12.18.13.png,1867,1044,"2016-08-01 12:23:24.726149+02",,,,,6,,
1095,"Kesting, Beitrag in \&quot;Zooming ...\&quot;, Cover",original_images/Kesting_Zooming.jpg,945,1496,"2016-08-01 13:32:29.716722+02",,,,,13,,
1096,Kesting_Sun_Tropes,original_images/Kesting_Sun_Tropes.jpg,1299,2126,"2016-08-01 13:39:14.285711+02",,,,,13,,
1097,Kesting_Politik,original_images/Kesting_Politik.jpg,450,648,"2016-08-01 13:42:01.007034+02",,,,,13,,
1098,"Plakat Werkstattgespräche: Mobile Objekte",original_images/Werkstattgespraeche_mobile_objekte.jpg,800,1127,"2016-08-01 13:58:10.820476+02",,,,,22,,
1099,"Logo BGC",original_images/logo-BGC.jpg,700,700,"2016-08-01 18:47:19.470674+02",,,,,22,,
1100,"Visual History",original_images/Bildschirmfoto_2016-08-01_um_18.48.37.png,391,91,"2016-08-01 18:51:10.758917+02",,,,,22,,
1101,Lerup_One_million,original_images/Lerup_One_million.jpg,499,711,"2016-08-02 10:13:16.186867+02",,,,,13,,
1102,Lerup_After_the_City,original_images/Lerup_After_the_City.jpg,361,475,"2016-08-02 10:20:29.228809+02",,,,,13,,
